series_type,date,ron95,ron97,diesel
level,30/3/2017,2.13,2.41,2.11
level,6/4/2017,2.16,2.43,2.08
level,13/4/2017,2.24,2.52,2.16
level,20/4/2017,2.27,2.54,2.21
level,27/4/2017,2.21,2.49,2.14
level,4/5/2017,2.11,2.39,2.08
level,11/5/2017,2.01,2.29,1.95
level,18/5/2017,2.08,2.36,1.99
level,25/5/2017,2.12,2.4,2.03
level,1/6/2017,2.1,2.38,2.02
level,8/6/2017,2.05,2.31,1.94
level,15/6/2017,1.98,2.24,1.88
level,22/6/2017,1.91,2.17,1.88
level,29/6/2017,1.89,2.15,1.84
level,6/7/2017,1.93,2.19,1.91
level,13/7/2017,1.97,2.22,1.96
level,20/7/2017,1.97,2.22,1.96
level,27/7/2017,2.03,2.28,1.99
level,3/8/2017,2.07,2.32,2.05
level,10/8/2017,2.12,2.39,2.06
level,17/8/2017,2.15,2.43,2.04
level,24/8/2017,2.15,2.43,2.01
level,31/8/2017,2.16,2.44,2.04
level,7/9/2017,2.2,2.48,2.05
level,14/9/2017,2.21,2.52,2.14
level,21/9/2017,2.19,2.49,2.1
level,28/9/2017,2.16,2.46,2.12
level,5/10/2017,2.19,2.49,2.17
level,12/10/2017,2.16,2.46,2.1
level,19/10/2017,2.17,2.47,2.11
level,26/10/2017,2.2,2.5,2.13
level,2/11/2017,2.24,2.54,2.17
level,9/11/2017,2.31,2.6,2.2
level,16/11/2017,2.38,2.66,2.25
level,23/11/2017,2.3,2.58,2.23
level,30/11/2017,2.3,2.58,2.25
level,7/12/2017,2.29,2.57,2.21
level,14/12/2017,2.25,2.52,2.2
level,21/12/2017,2.27,2.54,2.23
level,28/12/2017,2.26,2.53,2.26
level,4/1/2018,2.29,2.56,2.32
level,11/1/2018,2.26,2.53,2.32
level,18/1/2018,2.3,2.57,2.32
level,25/1/2018,2.29,2.56,2.31
level,1/2/2018,2.31,2.58,2.34
level,8/2/2018,2.33,2.61,2.31
level,15/2/2018,2.23,2.5,2.19
level,22/2/2018,2.17,2.43,2.13
level,1/3/2018,2.2,2.47,2.18
level,8/3/2018,2.21,2.47,2.17
level,15/3/2018,2.18,2.45,2.16
level,22/3/2018,2.2,2.47,2.18
level,29/3/2018,2.2,2.47,2.18
